Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
1,Travis Kelce (KC),110,152,"1,338",12.2,52,29,12,2,5,0,1,17,206.3,12.1,100.00%,2022,TE
2,George Kittle (SF),60,86,765,12.8,54,20,11,0,0,0,1,15,140.5,9.4,99.20%,2022,TE
3,Taysom Hill (NO),9,13,77,8.6,30,2,2,96,575,7,0,16,136.8,8.6,19.00%,2022,TE
4,T.J. Hockenson (MIN),86,129,914,10.6,81,12,6,0,0,0,1,17,129.4,7.6,99.80%,2022,TE
5,Mark Andrews (BAL),73,113,847,11.6,36,8,5,3,8,0,0,15,117.5,7.8,99.90%,2022,TE
6,Evan Engram (JAC),73,98,766,10.5,36,11,4,2,13,0,0,17,103.9,6.1,94.20%,2022,TE
7,Cole Kmet (CHI),50,69,544,10.9,50,9,7,2,9,0,0,17,97.3,5.7,84.40%,2022,TE
8,Juwan Johnson (NO),42,65,508,12.1,41,10,7,0,0,0,0,16,92.8,5.8,26.80%,2022,TE
9,Dawson Knox (BUF),48,65,517,10.8,45,10,6,0,0,0,0,15,87.7,5.8,28.70%,2022,TE
10,Dallas Goedert (PHI),55,69,702,12.8,31,12,3,0,0,0,1,12,86.2,7.2,96.80%,2022,TE
11,Dalton Schultz (HOU),57,89,577,10.1,30,6,5,0,0,0,1,15,85.7,5.7,84.70%,2022,TE
12,Pat Freiermuth (PIT),63,98,732,11.6,57,13,2,0,0,0,0,15,85.2,5.7,92.30%,2022,TE
13,David Njoku (CLE),58,80,628,10.8,38,10,4,2,-8,0,1,14,84,6,91.70%,2022,TE
14,Gerald Everett (LAC),58,87,555,9.6,26,4,4,1,0,0,0,15,81.5,5.4,53.10%,2022,TE
15,Tyler Higbee (LAR),72,108,620,8.6,26,4,3,0,0,0,0,16,80,5,71.30%,2022,TE
16,Jordan Akins (CLE),37,54,495,13.4,46,13,5,0,0,0,1,15,79.5,5.3,0.60%,2022,TE
17,Tyler Conklin (NYJ),58,87,552,9.5,30,7,3,2,3,0,0,17,73.5,4.3,8.00%,2022,TE
18,Noah Fant (SEA),50,63,486,9.7,51,8,4,0,0,0,0,17,72.6,4.3,5.30%,2022,TE
19,Zach Ertz (ARI),47,69,406,8.6,32,3,4,0,0,0,0,10,68.6,6.9,30.60%,2022,TE
20,Mike Gesicki (NE),32,52,362,11.3,32,7,5,0,0,0,0,17,66.2,3.9,29.10%,2022,TE
21,Chigoziem Okonkwo (TEN),32,46,450,14.1,48,14,3,3,2,0,0,16,65.2,4.1,52.60%,2022,TE
22,Hunter Henry (NE),41,59,509,12.4,39,15,2,0,0,0,0,16,62.9,3.9,4.80%,2022,TE
23,Robert Tonyan (CHI),53,67,470,8.9,24,5,2,0,0,0,0,17,59,3.5,1.20%,2022,TE
24,Darren Waller (NYG),28,43,388,13.9,34,11,3,0,0,0,0,9,56.8,6.3,98.40%,2022,TE
25,Austin Hooper (LV),41,60,444,10.8,24,2,2,0,0,0,0,17,56.4,3.3,1.50%,2022,TE
26,Hayden Hurst (CAR),54,70,439,8.1,29,5,2,0,0,0,0,14,55.9,4,9.10%,2022,TE
27,Isaiah Likely (BAL),36,60,373,10.4,34,5,3,0,0,0,0,14,55.3,4,4.10%,2022,TE
28,Greg Dulcich (DEN),33,55,411,12.5,39,9,2,0,0,0,0,10,53.1,5.3,61.70%,2022,TE
29,Will Dissly (SEA),34,38,349,10.3,38,2,3,0,0,0,0,15,52.9,3.5,0.70%,2022,TE
30,Foster Moreau (NO),33,54,420,12.7,33,10,2,0,2,0,1,14,52.2,3.7,0.70%,2022,TE
31,Cade Otton (TB),42,65,391,9.3,35,5,2,0,0,0,0,16,51.1,3.2,1.60%,2022,TE
32,Jelani Woods (IND),25,40,312,12.5,36,6,3,0,0,0,0,12,49.2,4.1,3.90%,2022,TE
33,Kyle Pitts (ATL),28,59,356,12.7,33,6,2,0,0,0,0,10,47.6,4.8,95.90%,2022,TE
34,Brock Wright (DET),18,24,216,12,51,6,4,0,0,0,0,14,45.6,3.3,0.20%,2022,TE
35,Daniel Bellinger (NYG),30,35,268,8.9,24,2,2,1,2,1,1,11,45,4.1,0.80%,2022,TE
36,Colby Parkinson (SEA),25,34,322,12.9,39,8,2,0,0,0,0,14,44.2,3.2,0.10%,2022,TE
37,Noah Gray (KC),28,34,299,10.7,27,3,1,1,1,1,0,17,42,2.5,0.70%,2022,TE
38,MyCole Pruitt (ATL),16,21,150,9.4,29,2,4,0,0,0,0,10,39,3.9,0.00%,2022,TE
39,Logan Thomas (WAS),39,61,323,8.3,27,2,1,0,0,0,0,13,38.3,2.9,2.50%,2022,TE
40,C.J. Uzomah (NYJ),21,27,232,11,40,8,2,0,0,0,0,14,35.2,2.5,0.70%,2022,TE
41,Mo Alie-Cox (IND),19,28,189,9.9,34,2,3,0,0,0,1,14,34.9,2.5,0.20%,2022,TE
42,Tommy Tremble (CAR),19,32,174,9.2,29,1,3,0,0,0,1,15,33.4,2.2,0.20%,2022,TE
43,Trey McBride (ARI),29,39,265,9.1,29,3,1,0,0,0,0,12,32.5,2.7,7.30%,2022,TE
44,Harrison Bryant (CLE),31,42,239,7.7,30,2,1,1,8,0,0,14,30.7,2.2,0.20%,2022,TE
45,Kylen Granson (IND),31,40,302,9.7,32,4,0,1,0,0,0,13,30.2,2.3,0.10%,2022,TE
46,Irv Smith Jr. (CIN),25,36,182,7.3,17,0,2,0,0,0,0,8,30.2,3.8,16.60%,2022,TE
47,Shane Zylstra (FA),11,15,60,5.5,14,0,4,0,0,0,0,9,30,3.3,0.10%,2022,TE
48,Jake Ferguson (DAL),19,22,174,9.2,30,4,2,0,0,0,0,11,29.4,2.7,4.20%,2022,TE
49,Peyton Hendershot (DAL),11,16,103,9.4,29,2,2,1,2,1,0,12,28.5,2.4,0.20%,2022,TE
50,Josh Oliver (MIN),14,25,149,10.6,40,3,2,0,0,0,0,12,26.9,2.2,0.10%,2022,TE
51,Adam Trautman (DEN),18,22,207,11.5,22,2,1,0,0,0,0,13,26.7,2.1,0.20%,2022,TE
52,O.J. Howard (FA),10,23,145,14.5,26,4,2,0,0,0,0,11,26.5,2.4,0.10%,2022,TE
53,Durham Smythe (MIA),15,20,129,8.6,26,1,1,2,1,1,0,13,25,1.9,0.30%,2022,TE
54,Jonnu Smith (ATL),27,38,245,9.1,53,6,0,1,5,0,0,12,25,2.1,0.70%,2022,TE
55,Connor Heyward (PIT),12,17,151,12.6,45,4,1,2,27,0,0,15,23.8,1.6,0.20%,2022,TE
56,Teagan Quitoriano (HOU),7,14,113,16.1,52,5,2,0,0,0,0,7,23.3,3.3,0.10%,2022,TE
57,Jody Fortson (KC),9,13,108,12,40,4,2,0,0,0,1,10,20.8,2.1,0.10%,2022,TE
58,Eric Saubert (MIA),15,24,148,9.9,25,3,1,0,0,0,0,14,20.8,1.5,0.10%,2022,TE
59,Marcedes Lewis (FA),6,7,66,11,31,2,2,0,0,0,0,6,20.6,3.4,0.00%,2022,TE
60,Johnny Mundt (MIN),19,21,140,7.4,17,0,1,0,0,0,0,13,20,1.5,0.10%,2022,TE
61,Eric Tomlinson (HOU),9,13,79,8.8,18,0,2,0,0,0,0,9,19.9,2.2,0.00%,2022,TE
62,Mitchell Wilcox (CIN),17,18,139,8.2,19,0,1,0,0,0,0,9,19.9,2.2,0.00%,2022,TE
63,Ian Thomas (CAR),21,30,197,9.4,50,4,0,0,0,0,0,14,19.7,1.4,0.10%,2022,TE
64,Donald Parham Jr. (LAC),10,12,130,13,24,2,1,0,0,0,0,6,19,3.2,0.20%,2022,TE
65,Cameron Brate (FA),20,38,174,8.7,21,1,0,0,0,0,0,9,17.4,1.9,2.00%,2022,TE
66,James Mitchell (DET),11,11,113,10.3,22,2,1,0,0,0,0,8,17.3,2.2,0.10%,2022,TE
67,John Bates (WAS),14,22,108,7.7,20,1,1,0,0,0,0,10,16.8,1.7,0.10%,2022,TE
68,Ross Dwelley (SF),3,5,105,35,56,6,1,0,0,0,0,5,16.5,3.3,0.10%,2022,TE
69,Albert Okwuegbunam (DEN),10,18,95,9.5,25,1,1,0,0,0,0,6,15.5,2.6,0.60%,2022,TE
70,Ko Kieft (TB),7,10,80,11.4,19,0,1,0,0,0,0,14,14,1,0.10%,2022,TE
71,Dan Arnold (PHI),9,13,135,15,26,3,0,0,0,0,0,11,13.5,1.2,0.10%,2022,TE
72,Tanner Hudson (CIN),10,15,132,13.2,27,1,0,0,0,0,0,6,13.2,2.2,0.00%,2022,TE
73,Zach Gentry (PIT),19,23,132,6.9,32,3,0,0,0,0,0,14,13.2,0.9,0.10%,2022,TE
74,Brevin Jordan (HOU),14,28,128,9.1,20,2,0,0,0,0,0,9,12.8,1.4,0.10%,2022,TE
75,Chris Myarick (NYG),7,8,65,9.3,23,1,1,0,0,0,0,10,12.5,1.3,0.00%,2022,TE
76,Quintin Morris (BUF),8,11,84,10.5,26,1,1,0,0,0,1,9,12.4,1.4,0.10%,2022,TE
77,Jack Stoll (PHI),11,14,123,11.2,26,2,0,0,0,0,0,10,12.3,1.2,0.10%,2022,TE
78,Geoff Swaim (ARI),12,16,58,4.8,13,0,1,0,0,0,0,12,11.8,1,0.00%,2022,TE
79,Pharaoh Brown (IND),12,20,117,9.8,30,2,0,0,0,0,0,9,11.7,1.3,0.00%,2022,TE
80,Josiah Deguara (GB),13,15,114,8.8,25,1,0,0,0,0,0,9,11.4,1.3,0.10%,2022,TE
81,Brycen Hopkins (LAR),7,11,109,15.6,22,2,0,0,0,0,0,7,10.9,1.6,0.10%,2022,TE
82,Giovanni Ricci (CAR),8,9,100,12.5,32,2,0,0,0,0,0,11,10,0.9,0.00%,2022,TE
83,Anthony Firkser (NE),9,13,100,11.1,22,1,0,0,0,0,0,8,10,1.3,0.00%,2022,TE
84,Armani Rogers (WAS),5,6,64,12.8,23,1,0,2,26,0,0,9,9,1,0.10%,2022,TE
85,Parker Hesse (ATL),9,11,89,9.9,22,1,0,0,0,0,0,12,8.9,0.7,0.00%,2022,TE
86,Kyle Rudolph (FA),3,5,28,9.3,12,0,1,0,0,0,0,5,8.8,1.8,0.00%,2022,TE
87,Grant Calcaterra (PHI),5,9,81,16.2,40,3,0,0,0,0,0,6,8.1,1.4,0.10%,2022,TE
88,Blake Bell (KC),2,2,20,10,17,0,1,0,0,0,0,2,8,4,0.10%,2022,TE
89,Tre' McKitty (LAC),10,18,72,7.2,12,0,0,0,0,0,0,13,7.2,0.6,0.10%,2022,TE
90,Andrew Beck (HOU),5,11,69,13.8,27,2,0,2,0,0,0,9,6.9,0.8,0.00%,2022,TE
91,Tyler Mabry (SEA),1,1,7,7,7,0,1,0,0,0,0,1,6.7,6.7,0.00%,2022,TE
92,Tyler Kroft (MIA),4,5,57,14.3,28,1,0,0,0,0,0,6,5.7,1,0.10%,2022,TE
93,Nick Vannett (HOU),6,9,55,9.2,15,0,0,0,0,0,0,7,5.5,0.8,0.00%,2022,TE
94,Charlie Kolar (BAL),4,6,49,12.3,15,0,0,0,0,0,0,1,4.9,4.9,0.10%,2022,TE
95,Trevon Wesco (TEN),2,4,26,13,23,1,0,0,0,0,0,6,4.6,0.8,0.10%,2022,TE
96,Stephen Sullivan (CAR),2,6,46,23,33,2,0,0,0,0,0,8,4.6,0.6,0.00%,2022,TE
97,Chris Manhertz (DEN),6,8,42,7,21,1,0,0,0,0,0,8,4.2,0.5,0.00%,2022,TE
98,Luke Farrell (JAC),4,4,40,10,15,0,0,0,0,0,0,4,4,1,0.00%,2022,TE
99,Kendall Blanton (KC),2,2,35,17.5,28,1,0,0,0,0,0,2,3.5,1.8,0.00%,2022,TE
100,Ryan Griffin (FA),4,8,26,6.5,18,0,0,0,0,0,0,10,2.6,0.3,0.00%,2022,TE
101,Ben Ellefson (FA),3,3,26,8.7,12,0,0,0,0,0,0,2,2.6,1.3,0.00%,2022,TE
102,Tyler Davis (GB),4,7,26,6.5,23,1,0,0,0,0,0,11,2.6,0.2,0.00%,2022,TE
103,Cole Turner (WAS),2,9,23,11.5,18,0,0,0,0,0,0,7,2.3,0.3,0.10%,2022,TE
104,Jesper Horsted (LV),3,4,19,6.3,9,0,0,0,0,0,0,5,1.9,0.4,0.00%,2022,TE
105,Maxx Williams (FA),3,3,18,6,7,0,0,0,0,0,0,3,1.8,0.6,0.00%,2022,TE
106,Stone Smartt (LAC),4,5,17,4.3,8,0,0,0,0,0,0,3,1.7,0.6,0.00%,2022,TE
107,Sean McKeon (DAL),2,3,11,5.5,10,0,0,0,0,0,0,3,1.1,0.4,0.00%,2022,TE
108,Stephen Anderson (FA),3,7,9,3,6,0,0,0,0,0,0,9,0.9,0.1,0.00%,2022,TE
109,Jeremy Ruckert (NYJ),1,2,8,8,8,0,0,0,0,0,0,2,0.8,0.4,0.10%,2022,TE
110,Tommy Sweeney (NYG),1,1,7,7,7,0,0,0,0,0,0,2,0.7,0.4,0.00%,2022,TE
111,Jacob Harris (JAC),1,1,6,6,6,0,0,0,0,0,0,3,0.6,0.2,0.00%,2022,TE
112,Mason Schreck (HOU),2,2,6,3,6,0,0,0,0,0,0,2,0.6,0.3,0.00%,2022,TE
113,Devin Asiasi (CIN),2,4,5,2.5,6,0,0,0,0,0,0,5,0.5,0.1,0.10%,2022,TE
114,Richard Rodgers (FA),1,4,4,4,4,0,0,0,0,0,0,3,0.4,0.1,0.00%,2022,TE
115,Stephen Carlson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
116,Mitchell Fraboni (DEN),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
117,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
118,Matthew Orzech (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
119,Jace Sternberger (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
120,Hakeem Butler (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
121,J.J. Arcega-Whiteside (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
122,Daniel Helm (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
123,Brandon Dillon (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
124,Tyree Jackson (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
125,Alize Mack (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
126,Tommy Hudson (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
127,Nick Bowers (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
128,Scotty Washington (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
129,Jake Bargas (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
130,Feleipe Franks (ATL),0,2,0,0,0,0,0,1,0,0,0,5,0,0,0.00%,2022,TE
131,Rashod Berry (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
132,Jared Pinkney (CHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
133,Chase Allen (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
134,Dalton Keene (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
135,Charlie Woerner (SF),0,2,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2022,TE
136,Noah Togiai (ARI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
137,Lawrence Cager (NYG),13,19,118,9.1,20,1,1,0,0,0,0,6,0,0,0.00%,2022,TE
138,Reggie Gilliam (BUF),9,11,76,8.4,14,0,1,0,0,0,0,8,0,0,0.10%,2022,TE
139,Dre Miller (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
140,Chris Pierce Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
141,Leroy Watson (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
142,Jake Tonges (CHI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
143,Rodney Williams (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
144,Curtis Hodges (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
145,Justin Rigg (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
146,Zaire Mitchell-Paden (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
147,Cole Fotheringham (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
148,Tucker Fisk (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
149,Nikola Kalinic (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
150,John FitzPatrick (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
151,Tanner Conner (MIA),0,3,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
152,Gerrit Prince (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
153,Nick Muse (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
154,Lucas Krull (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
155,Cameron Latu (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
156,Noah Gindorff (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
157,Andrew Ogletree (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
158,Seth Green (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
159,Thomas Greaney (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
160,Travis Vokolek (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
161,Julian Hill (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
162,Johnny Lumpkin (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
163,Ryan Miller (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
164,Tanner Taula (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
165,Nate Adkins (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
166,John Samuel Shenker (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
167,Princeton Fant (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
168,Izaiah Gathings (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
169,Brady Russell (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
170,E.J. Jenkins (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
171,Thomas Odukoya (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
172,Dalton Kincaid (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.60%,2022,TE
173,Luke Schoonmaker (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60%,2022,TE
174,Luke Musgrave (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90%,2022,TE
175,Tucker Kraft (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%,2022,TE
176,Brenton Strange (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,2022,TE
177,Payne Durham (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
178,Zack Kuntz (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
179,Ben Sims (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
180,Ryan Jones (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
181,Brayden Willis (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
182,Joel Wilson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
183,Michael Ezeike (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
184,Christian Sims (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
185,Joel Honigford (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
186,Blake Whiteheart (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
187,Henry Pearson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
188,Griffin Hebert (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
189,Christian Trahan (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
190,Dominique Dafney (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
191,Hunter Thedford (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
192,Hunter Long (LAR),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.10%,2022,TE
193,Kenny Yeboah (NYJ),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
194,Miller Forristall (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
195,Matt Bushman (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
196,Hunter Kampmoyer (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
197,Zach Davidson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
198,Bernhard Seikovits (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
199,Ben Mason (BAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
200,Davis Allen (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
201,Austin Allen (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
202,Will Mallory (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
203,Josh Whyle (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
204,Michael Mayer (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10%,2022,TE
205,Darnell Washington (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%,2022,TE
206,Sam LaPorta (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.30%,2022,TE
207,Josh Pederson (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
208,Sammis Reyes (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
209,Elijah Higgins (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
210,Dominique Curry (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
211,Drake Dunsmore (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
212,James Dearth (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
213,Darnell Dinkins (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
214,Derek Fine (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
215,J.P. Foschi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
216,Brad Cottam (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
217,Jimmy Graham (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,2022,TE
218,Marquez Branson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
219,Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
220,Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
221,Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
222,Jacob Hollister (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
223,Darrell Daniels (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
224,J.P. Holtz (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
225,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
226,Troy Fumagalli (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
227,Jordan Thomas (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
228,David Wells (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
229,Kevin Rader (TEN),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%,2022,TE
230,Colin Thompson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
231,Beau Brinkley (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.20%,2022,TE
232,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
233,Tyler Ott (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
234,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2022,TE
235,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
236,Jesse James (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
237,Nick Boyle (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
238,La'Michael Pettway (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
239,Drew Sample (CIN),2,2,-2,-1,2,0,0,0,0,0,0,2,-0.2,-0.1,0.10%,2022,TE