SEASON,TEAM,NFL,NFL_TEAM_ID,ESPN,PFR,PFF,PFFLABEL,FO,FULL,LOCATION,SHORT_LOCATION,NICKNAME,HYPHENATED,TEAM_SEASON
2020,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Football Team,Washington,Washington,Football Team,Washington-Football-Team,2020_WAS
2021,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2021_ARI
2021,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2021_ATL
2021,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2021_BAL
2021,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2021_BUF
2021,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2021_CAR
2021,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2021_CHI
2021,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2021_CIN
2021,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2021_CLE
2021,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2021_DAL
2021,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2021_DEN
2021,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2021_DET
2021,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2021_GB
2021,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2021_HOU
2021,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2021_IND
2021,JAX,JAC,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2021_JAX
2021,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2021_KC
2021,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2021_LAC
2021,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2021_LA
2021,LV,LV,2520,LV,RAI,23.0,LV,LV,Las Vegas Raiders,Las Vegas,Las Vegas,Raiders,Las-Vegas-Raiders,2021_LV
2021,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2021_MIA
2021,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2021_MIN
2021,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2021_NE
2021,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2021_NO
2021,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2021_NYG
2021,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2021_NYJ
2021,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2021_PHI
2021,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2021_PIT
2021,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2021_SEA
2021,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2021_SF
2021,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2021_TB
2021,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2021_TEN
2021,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Football Team,Washington,Washington,Football Team,Washington-Football-Team,2021_WAS
2022,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2022_ARI
2022,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2022_ATL
2022,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2022_BAL
2022,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2022_BUF
2022,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2022_CAR
2022,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2022_CHI
2022,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2022_CIN
2022,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2022_CLE
2022,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2022_DAL
2022,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2022_DEN
2022,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2022_DET
2022,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2022_GB
2022,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2022_HOU
2022,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2022_IND
2022,JAX,JAC,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2022_JAX
2022,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2022_KC
2022,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2022_LAC
2022,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2022_LA
2022,LV,LV,2520,LV,RAI,23.0,LV,LV,Las Vegas Raiders,Las Vegas,Las Vegas,Raiders,Las-Vegas-Raiders,2022_LV
2022,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2022_MIA
2022,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2022_MIN
2022,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2022_NE
2022,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2022_NO
2022,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2022_NYG
2022,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2022_NYJ
2022,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2022_PHI
2022,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2022_PIT
2022,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2022_SEA
2022,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2022_SF
2022,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2022_TB
2022,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2022_TEN
2022,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Commanders,Washington,Washington,Commanders,Washington-Commanders,2022_WAS
2023,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2023_ARI
2023,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2023_ATL
2023,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2023_BAL
2023,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2023_BUF
2023,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2023_CAR
2023,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2023_CHI
2023,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2023_CIN
2023,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2023_CLE
2023,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2023_DAL
2023,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2023_DEN
2023,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2023_DET
2023,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2023_GB
2023,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,Houston-Texans,2023_HOU
2023,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,Indianapolis-Colts,2023_IND
2023,JAX,JAC,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,Jacksonville-Jaguars,2023_JAX
2023,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,Kansas-City-Chiefs,2023_KC
2023,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,Los-Angeles-Chargers,2023_LAC
2023,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,Los-Angeles-Rams,2023_LA
2023,LV,LV,2520,LV,RAI,23.0,LV,LV,Las Vegas Raiders,Las Vegas,Las Vegas,Raiders,Las-Vegas-Raiders,2023_LV
2023,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,Miami-Dolphins,2023_MIA
2023,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,Minnesota-Vikings,2023_MIN
2023,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,New-England-Patriots,2023_NE
2023,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,New-Orleans-Saints,2023_NO
2023,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,New-York-Giants,2023_NYG
2023,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,New-York-Jets,2023_NYJ
2023,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2023_PHI
2023,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2023_PIT
2023,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2023_SEA
2023,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2023_SF
2023,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2023_TB
2023,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2023_TEN
2023,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Commanders,Washington,Washington,Commanders,Washington-Commanders,2023_WAS
